Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Rossi, Daniele; Olivieri, Alessandro; Marchesani, Graziano; Paciotti, Davide; ",Maker Faire 2017-Applicazione di Live Mixed Reality ed esposizione degli elaborati del corso di laurea magistrale in Design Computazionale,,,,,2017,
"Baiani, Serena; Ulisse, Alberto; Brownlee, TIMOTHY DANIEL; Conteduca, Michele; Romano, M; De Caro, A; Nickayin, Samaneh; Stefàno, D; D’Ottavi, S; Marchesani, GE; ",Scarto vs Risorsa. Proposte per la rigenerazione dei residui urbani,Progettare in vivo la rigenerazione urbana,,,186-193,2020,Maggioli Editore
"Cocci Grifoni, Roberta; Ottone, Maria Federica; Marchesani, Graziano Enzo; ",A new baroque for the environmental quality of the city,"WORLD HERITAGE and CONTAMINATION Architecture, Culture, Environment, Agriculture, Health, Economy, Landscape, Design, Territorial Governance, Archaeology, e-Learning",,,811-816,2020,Gangemi
"Ottone, Maria Federica; Grifoni, Roberta Cocci; Crispim, Samara Ferreira; Porfiri, Simone; Marchesani, Graziano Enzo; ",RESILIENZA TRASFORMATIVA URBANA: generare nuove opportunità nel complesso sistema edifici/spazi aperti,ANANKE,,95 (gennaio),99-102,2022,
"Grifoni, Roberta Cocci; Brownlee, Timothy D; Marchesani, Graziano Enzo; Ottone, Maria Federica; ",Urban micro-forestry for climate adaptation in the smaller ports of the mid-Adriatic sea,"AGATHÓN| International Journal of Architecture, Art and Design",11,,172-181,2022,
"COCCI GRIFONI, Roberta; Marchesani, Graziano Enzo; ",ARCHiTECTURE OF COMpLEXiTY:(RE) GENERATiVE INTERFACES,Design in the digital age,,,89-92,2020,Maggioli editori
"Ottone, Maria Federica; Grifoni, Roberta Cocci; Marchesani, Graziano Enzo; ",Massa e leggerezza: qualità urbana lungo le Mura Aureliane a Roma. Walking through walls,TECHNE: Journal of Technology for Architecture & Environment,19,,,2020,
"Cocci Grifoni, R; Petrucci, E; Tascini, S; Pierantozzi, M; Lapucci, D; Marchesani, GE; ",Energy efficiency improvements in italian historical buildings: The case study of Ascoli Piceno,"Proceedings-2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe, EEEIC/I and CPS Europe 2018",2018,,1-6,2018,Institute of Electrical and Electronics Engineers Inc.
"Grifoni, Roberta Cocci; Tascini, Simone; Cesario, Ernesto; Marchesani, Graziano Enzo; ",Cool façade optimization: a new parametric methodology for the urban heat island phenomenon (UHI),2017 IEEE International Conference on Environment and Electrical Engineering and 2017 IEEE Industrial and Commercial Power Systems Europe (EEEIC/I&CPS Europe),,,1-5,2017,IEEE
"Cocci Grifoni, Roberta; Caprari, Giorgio; Marchesani, Graziano Enzo; ",Combinative study of urban heat island in ascoli piceno city with remote sensing and CFD simulation—Climate Change and Urban Health Resilience—CCUHRE Project,Sustainability,14,2,688,2022,MDPI
"Kyprianou, Ioanna; Artopoulos, Georgios; Bonomolo, Anna; Brownlee, Timothy; Cachado, Rita Avila; Camaioni, Chiara; Đokić, Vladan; D'Onofrio, Rosalba; Đukanović, Zoran; Fasola, Salvatore; ",Mitigation and adaptation strategies to offset the impacts of climate change on urban health: A European perspective,Building and Environment,238,,110226,2023,Pergamon
"FEDERICA, OTTONE MARIA; ROBERTA, COCCI GRIFONI; ENZO, MARCHESANI GRAZIANO; ",Density-intensity. Material and immaterial elements in assessing urban quality,TECHNE,17,,278-288,2019,
"Grifoni, Roberta Cocci; Petrucci, Enrica; Tascini, Simone; Pierantozzi, Mariano; Lapucci, Diana; Marchesani, Graziano E; ",Energy efficiency improvements in italian historical buildings: The case study of Ascoli Piceno,2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC/I&CPS Europe),,,1-6,2018,IEEE
"Rossi, Daniele; Grifoni, Roberta Cocci; Marchesani, Graziano Enzo; Rosa, Marco; ",Inspired by the Atmosphere. See the Invisible,Proceedings,1,9,906,2017,MDPI
"Salvatori, Livia Maria; Marceca, Maurizio; Paglione, Lorenzo; Angelozzi, Aurora; Caminada, Susanna; Errigo, Miriam; Tofani, Marco; Battisti, Alessandra; Barnocchi, Asia; Bodini, Chiara; ",Methodological comparison of different projects,Conference of the Italian Association of Theoretical and Applied Mechanics,,,225-260,2019,Springer International Publishing Cham
"Grifoni, Roberta Cocci; Pierantozzi, Mariano; Marchesani, Graziano Enzo; Rosa, Marco; ",Inspired by the atmosphere: A procedural protocol that defines a meta-project based on atmospheric forces: Solar radiation and wind field,2017 IEEE International Conference on Environment and Electrical Engineering and 2017 IEEE Industrial and Commercial Power Systems Europe (EEEIC/I&CPS Europe),,,1-5,2017,IEEE
"Ottone, Maria Federica; Grifoni, Roberta Cocci; Marchesani, Graziano Enzo; Riera, Dajla; ",Density-intensity. Material and immaterial elements in assessing urban quality,TECHNE-Journal of Technology for Architecture and Environment,,,278-288,2019,
"Naboni, Emanuele; Gherri, Barbara; Marchesani, Enzo; Maiullari, Daniela; Fiorito, Francesco; ",Why Coupling MicroClimate and Buildings in Design for Climate Change,Progetto e Costruzione Tradizione ed innovazione nella pratica dell’architettura,,,401-413,2021,EdicomEdizioni
"COCCI GRIFONI, Roberta; Ottone, Maria Federica; Marchesani, Graziano Enzo; ",La sfida delle periferie: i quartieri ERP come opportunità di risposta all’emergenza climatica e sanitaria,URBANISTICA INFORMAZIONI,47,289 (special issue),13-15,2020,
"D’Onofrio, Rosalba; Trusiani, Elio; D’Onofrio, Rosalba; Odoguardi, Ilaria; Trusiani, Elio; D’Onofrio, Rosalba; Trusiani, Elio; Trusiani, Elio; D’Onofrio, Rosalba; Grifoni, Roberta Cocci; ",The ascoli piceno case: The CCUHRE project,Conference of the Italian Association of Theoretical and Applied Mechanics,,,113-146,2019,Springer
"Grifoni, Roberta Cocci; Brownlee, Timothy Daniel; Marchesani, Graziano Enzo; Ottone, Maria Federica; ",LA MICRO-FORESTAZIONE URBANA PER L'ADATTAMENTO CLIMATICO NEI PORTI MINORI DEL MEDIO ADRIATICO.,"Agathon: International Journal of Architecture, Art & Design",11,,,2022,
"Cocci Grifoni, R; Bonvini, A; Marchesani, G; Romanella, D; Tassetti, P; ",Nuovo Rinascimento,"Futuribile, Idee e progetti per un futuro probabile",,,54-63,2020,Capponi Editore
"Ottone, MF; Cocci Grifoni, R; Marchesani, GE; ",Mass and lightness: urban quality along the Aurelian Walls in Rome. Walking through Walls.(Rivista di classe A),TECHNE,19,,280-289,2020,
"Enzo, Marchesani Graziano; ",Inspired by the atmosphere. Protocollo procedurale per la definizione di un metaprogetto basato su forzanti atmosferiche: la radiazione solare.,,,,,2016,Universita'degli Studi di Camerino
"Enzo, Marchesani Graziano; ",Strategie progettuali per insediamenti temporanei post-emergenziali-progetto di un sistema apri e copri-Graziano Enzo Marchesani,,,,,2016,Universita'degli studi di Camerino
"D'Onofrio, Rosalba; COCCI GRIFONI, Roberta; Ottone, Maria Federica; Brownlee, Timothy; Marchesani, Graziano Enzo; Camaioni, Chiara; Trusiani, Elio; ",2° Transnational Meeting del Progetto Erasmus+ Cli-CC. HE,,,,,2022,
"D'Onofrio, Rosalba; COCCI GRIFONI, Roberta; Ottone, Maria Federica; Marchesani, Graziano Enzo; Trusiani, Elio; ",DA. 1.1. 2 Repertorio di interventi NBS e delle specie arboree per il benessere fisico e psichico della comunità urbana LIFE20 CCA/IT/001752 Progetto LIFE+ A_GREENET Adriatic Climate Urban Network,,,,,2022,
"D'Onofrio, Rosalba; COCCI GRIFONI, Roberta; Camaioni, Chiara; Guaiani, Alessia; Marchesani, Graziano Enzo; Ottone, Maria Federica; Trusiani, Elio; Simionato, Ludovica; ",Multiplier Events: Water For a Friend ERASMUs+ CliCCHE,,,,,2023,
"Marchesani, Graziano Enzo; ",cartOut. Cardboard architecture 4 climate challange.,,,,,2021,Università degli Studi di Camerino
"D'Onofrio, Rosalba; Pierantoni, Ilenia; Sargolini, Massimo; COCCI GRIFONI, Roberta; Marchesani, Graziano Enzo; Ottone, Maria Federica; Ruggiero, Roberto; Cognoli, Roberto; Losco, Giuseppe; Iommi, Matteo; ","Meeting Interno"" ASSESSMENT RECOGNITION AND EVALUATION OF THE “MINIMUM URBAN UNITS” Progetto Vitality. Ecosistema dell'Innovazione Work Package 1: Context: indoor and outdoor at the center of the digital and green transition of living environments.",,,,,2023,
"D'Onofrio, Rosalba; Pierantoni, Ilenia; COCCI GRIFONI, Roberta; Ottone, Maria Federica; Bernabei, Maria Simonetta; Marchesani, Graziano Enzo; Coccia, Luigi; Cipolletti, Sara; Giostra, Greta; Corvaro, Gianmarco; ",REVISIONI DEL PROGETTO VITALITY. PNRR_ECOSISTEMA DELL'INNOVAZIONE Work Package 6: Training and Educational Activities Task 6.1-Training for the green and digital transition for indoor-outdoor spaces,,,,,2023,
"D'Onofrio, Rosalba; COCCI GRIFONI, Roberta; Sargolini, Massimo; Pierantoni, Ilenia; Marchesani, Graziano Enzo; Coccia, Luigi; Cipolletti, Sara; Grappasonni, Iolanda; Paniccià, Marco; Iommi, Matteo; ","PROGETTO VITALITY INNOVATION, DIGITALISATION AND SUSTAINABILITY FOR THE DIFFUSED ECONOMY IN CENTRAL ITALY. SPOKE 6-WP6. OUTPUT 2-CO-CREATION FOR CITIZENS",,,,,2023,
"D'Onofrio, Rosalba; Camaioni, Chiara; Guaiani, Alessia; Conti, Francesco; Porfiri, Simone; Simionato, Ludovica; Malavolta, Simone; Marchesani, Graziano Enzo; Cocci Grifoni, Roberta; ","Workshop Locale Progetto Erasmus+ CliCCHE (Climate Change, Cities, Communities and Equity in Health",,,,,2023,
"Ottone, Maria Federica; Cocci Grifoni, Roberta; D'Onofrio, Rosalba; Petrucci, Enrica; Riera, Dajla; Marchesani, Graziano Enzo; Romanella, Davide; ",Mobilit_AP,,,,,2022,
"Sargolini, M; Ottone, F; Cocci Grifoni, R; Porfiri, Simone; Marchesani, G; ",SNSV2 VAUTERECO Area studio Regione Marche. Analisi degli spazi aperti urbani.,,,,,2021,
"Cocci Grifoni, Roberta; Ottone, Maria Federica; Riera, Dajla; Marchesani, Graziano Enzo; Romanella, Davide; ",GREEN INFRASTRUCTURE FOR INTERMEDIATE CITIES-THE ASCOLI PICENO CASE STUDY (Rivista Classe A).,ABITARE LA TERRA,,7-8,76-79,2022,
"COCCI GRIFONI, Roberta; Tonelli, Chiara; Riera, Dajla; Marchesani, Graziano Enzo; Cardone, Barbara; Nardi, Giada; Romanella, Davide; Brownlee, TIMOTHY DANIEL; ",La grande bellezza dello spazio urbano,Un selfie dei territori. Modelli per una lettura critico interpretativa dell'ambiente costruito,,,102-110,2023,Maggioli editore
"GRIFONI, ROBERTA COCCI; OTTONE, MARIA FEDERICA; RIERA, DAJLA; MARCHESANI, GRAZIANO ENZO; ROMANELLA, DAVIDE; ",Green infrastructure for intermediate cities. The Ascoli Piceno case study.,Dwelling on Earth/Abitare la Terra,58,,,2022,
"D'Onofrio, Rosalba; Camaioni, Chiara; Guaiani, Alessia; Marchesani, Graziano Enzo; Porfiri, Simone; Conti, Francesco; ",Progetto Cli_CCHE Quartiere Sant'Antonio L'Italia che verrà: libera interpretazione dell'Italia dell'Antropocene in poster e video mapping,,,,,2023,
"Marchesani, Graziano Enzo; Bernabei, Maria Simonetta; COCCI GRIFONI, Roberta; Khodaparast, Mohammadjavad; ",FETCH (Framework for Environmental Type-Classification Hub),,,,,2024,
"Marchesani, Graziano Enzo; COCCI GRIFONI, Roberta; Malavolta, Simone; Vagias, Athanasios; ",spotMapper,,,,,2024,
"Marchesani, Graziano Enzo; COCCI GRIFONI, Roberta; Khodaparast, Mohammadjavad; ",EnviReader,,,,,2024,
"Marchesani, Graziano Enzo; COCCI GRIFONI, Roberta; Malavolta, Simone; Vagias, Athanasios; ",streetVision,,,,,2024,
"Marchesani, GE; Cocci Grifoni, R; ",UnicamTools,,,,,2023,
"Marchesani, Graziano Enzo; ",orient-3Pt,,,,,2022,
"Marchesani, Graziano Enzo; ",semanticGeometry,,,,,2022,
"Marchesani, Graziano Enzo; ",Envi-Met automation Protocol,,,,,2024,
"Cecchi, Jonatha; Malavolta, Simone; D'Onofrio, Rosalba; Marchesani, Graziano Enzo; Catorci, Andrea; Giorgini, Irene; ",LIFE+ A_GreeNet-data & report iTree Eco,,,,,2025,
"Marchesani, Graziano Enzo; COCCI GRIFONI, Roberta; ",Envi-MET Simulation Dataset for the LIFE AGREEN_NET Project (2019 and 2030),,,,,2025,
"Marchesani, Graziano Enzo; Malavolta, Simone; Casoni, Francesco; Valeri, Federico; ",A_GreeNET Explorer,,,,,2024,
"Bernabei, Maria Simonetta; Cipolletti, Sara; Cocci Grifoni, Roberta; Coccia, Luigi; Cognoli, Roberto; Conti, Francesco; Corvaro, Gianmarco; D'Onofrio, Rosalba; Grappasonni, Iolanda; Iommi, Matteo; ",Digital and Green Transition of Living Environments: A Systematic Literature Review of Adaptive Technical-Spatial Solutions for Indoor and Outdoor,Available at SSRN 5205915,,,,,
"D’Onofrio, Rosalba; Brownlee, Timothy Daniel; Camaioni, Chiara; Cecchi, Jonatha; Grifoni, Cocci; Malavolta, Simone; Marchesani, Graziano Enzo; ",Multilevel governance approach to adaptation. The construction of the Italian mid-Adriatic green infrastructure,TEMA,18,,113-130,2025,
"Petrucci, Enrica; Cocci Grifoni, Roberta; Marchesani, Graziano Enzo; ",All’ombra del Chiostro: Analisi Microclimatiche delle Strutture Claustrali e Strategie per il Progetto fra Conservazione e Innovazione,"Le prossime sfide per i beni culturali: ricerca, competenze e professioni a fronte di cambiamenti climatici, sostenibilità e transizione digitale, a cura di Guido Driussi e Zeno Morabito",1,,575-586,2025,Arcadia Ricerche srl
"Marchesani, Graziano Enzo; Cocci Grifoni, Roberta; Bernabei, Maria Simonetta; Malavolta, Simone; Riera, Dajla; Khodaparast, Mohammadjavad; D'Onofrio, Rosalba; ",Cityrhythm,,,,,2025,
"Malavolta, Simone; Marchesani, Graziano Enzo; Brownlee, Timothy Daniel; Lupini, Silvia; D'Onofrio, Rosalba; Cocci Grifoni, Roberta; Cecchi, Jonatha; Caprari, Giorgio; ",Life+ AGREENet Projects and Results,,,,,2025,
